Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	3.8664629459381104	68.20271611213684	408.7277526855469	13.379535675048828	891.6004028320312	0.0005122318	0.13394558	4.543263912200928	True
1	100	121.19117999076843	72.99077916145325	519.8365478515625	3.3667166233062744	377.09478759765625	0.042791344	0.10566397	2.0462677478790283	True
3	200	70.05431699752808	66.83955502510071	423.87005615234375	0.5417054295539856	363.09765625	0.115572385	0.1471116	1.0467288494110107	True
5	300	16.00239086151123	66.82270193099976	433.6124267578125	0.7196559906005859	330.6846618652344	0.23323897	0.21064186	0.7595674991607666	True
6	400	132.25875401496887	84.91861510276794	383.22369384765625	0.48576194047927856	320.3093566894531	0.25925264	0.31981876	0.8491917848587036	True
8	500	79.62853407859802	73.06662559509277	396.0484619140625	0.45153361558914185	317.5336608886719	0.26761872	0.41197154	0.8388375043869019	True
10	600	26.45606827735901	62.12924385070801	413.5856018066406	0.5612170696258545	314.5002136230469	0.27353555	0.46600217	0.7039381861686707	True
11	700	136.21804308891296	63.720327854156494	437.70294189453125	0.4682445526123047	313.46783447265625	0.27578235	0.48485813	0.6686969995498657	True
13	800	87.83224391937256	71.59025025367737	358.0884704589844	0.4694885313510895	312.5560302734375	0.27718776	0.5130254	0.7055017948150635	True
15	900	50.37415289878845	68.98255109786987	387.1257019042969	0.4124648869037628	311.4564514160156	0.2802622	0.51013833	0.7515351176261902	True
16	1000	131.78643798828125	64.18154001235962	371.1506042480469	0.5237812995910645	311.0539855957031	0.28205198	0.51618844	0.799949049949646	True
18	1100	75.82439088821411	63.961607933044434	335.2214660644531	0.4271353781223297	310.8298645019531	0.28277943	0.52105916	0.6824052333831787	True
20	1200	50.64751887321472	64.09888005256653	346.9371643066406	0.4456636905670166	310.45819091796875	0.28287846	0.515538	0.6823118925094604	True
22	1300	6.9670891761779785	66.45488905906677	450.07928466796875	0.3896614909172058	311.9714660644531	0.28426915	0.5273068	0.9113703966140747	False
23	1400	108.55132985115051	63.76455283164978	393.74078369140625	0.49303215742111206	310.36737060546875	0.2838024	0.5171381	0.7299971580505371	True
25	1500	61.37374520301819	64.06681609153748	365.41461181640625	0.3899897038936615	310.0873107910156	0.2847472	0.524155	0.6759682893753052	True
27	1600	18.10785222053528	64.5742437839508	372.66314697265625	0.4263434410095215	309.919189453125	0.28591546	0.52358955	0.7253810167312622	True
28	1700	118.6648268699646	438.13128995895386	384.1964416503906	0.4130156934261322	309.66937255859375	0.28545693	0.5283473	0.6604790091514587	True
30	1800	72.11505722999573	60.320279121398926	342.9459228515625	0.3798248767852783	309.8695068359375	0.28481492	0.5283458	0.7371837496757507	False
32	1900	28.767235279083252	86.22718715667725	408.3124084472656	0.3858116865158081	309.31988525390625	0.2863361	0.54099107	0.699377179145813	True
33	2000	117.74615716934204	58.84602689743042	363.1019592285156	0.3868498206138611	309.28155517578125	0.2862485	0.53276837	0.6298530101776123	True
35	2100	94.92756795883179	65.19148588180542	382.7822265625	0.29974251985549927	310.4928283691406	0.28626338	0.5346776	0.6168688535690308	False
37	2200	39.64595675468445	63.80505394935608	425.70928955078125	0.5096058249473572	309.26055908203125	0.28610253	0.5288125	0.6056948900222778	True
38	2300	218.29574823379517	59.92208003997803	390.06396484375	0.6345109939575195	309.33258056640625	0.28667438	0.5407115	0.7886614799499512	False
40	2400	144.52402997016907	92.65814328193665	409.7691955566406	0.42105644941329956	309.8421325683594	0.285516	0.5453323	0.7107412815093994	False
42	2500	66.41004371643066	72.0216908454895	373.84100341796875	0.4479593336582184	309.42938232421875	0.2856067	0.5372865	0.7908604145050049	False
44	2600	12.635529041290283	62.2995240688324	377.5053405761719	0.4361368417739868	309.9830627441406	0.28502792	0.54122376	0.7282499074935913	False
45	2700	142.01658391952515	91.39422798156738	357.47711181640625	0.5014168620109558	308.975341796875	0.28686127	0.54420793	0.6734163761138916	True
47	2800	88.52617478370667	97.72398281097412	338.7978820800781	0.3409246504306793	309.6322021484375	0.28430748	0.53339005	0.5990602374076843	False
49	2900	33.93304085731506	86.14817523956299	388.2889709472656	0.39813223481178284	309.43896484375	0.28516904	0.5367358	0.7380278706550598	False
