Epoch	Iteration	Training Time	Validation Time	Training MNLL	Training Count MSE	Validation MNLL	Validation Profile Pearson	Validation Count Pearson	Validation Count MSE	Saved?
0	0	1.2611699104309082	1.2325360774993896	8124.9912109375	69.56637573242188	7020.5	0.08155374228954315	-0.2695018947124481	65.98259735107422	True
0	100	5.649383544921875	0.9215881824493408	5438.232421875	2.45937442779541	6331.70703125	0.30141082406044006	0.07705247402191162	2.6422412395477295	True
0	200	5.1653382778167725	0.9073328971862793	5741.71240234375	1.5090770721435547	6055.3173828125	0.34735217690467834	0.2250494360923767	1.6129251718521118	True
0	300	5.170239210128784	0.9126205444335938	7690.3486328125	1.5871644020080566	6002.5966796875	0.371115505695343	0.24759119749069214	1.5349806547164917	True
0	400	5.174525022506714	0.9512991905212402	8245.072265625	2.1871211528778076	5971.3701171875	0.3726796805858612	0.3191240429878235	1.8079938888549805	True
0	500	5.316772937774658	0.9256489276885986	5339.4111328125	1.1282025575637817	5873.7724609375	0.39566248655319214	0.37609684467315674	1.3894766569137573	True
0	600	5.360075950622559	0.9488015174865723	5616.1005859375	1.2844805717468262	5775.427734375	0.41645345091819763	0.3598927855491638	1.429502010345459	True
0	700	5.356417655944824	0.9142272472381592	4881.6318359375	1.0452755689620972	5704.62646484375	0.4212273955345154	0.3555222451686859	1.3930938243865967	True
1	800	2.8342535495758057	0.924558162689209	6880.7197265625	1.534625768661499	5731.31201171875	0.4217222034931183	0.29526370763778687	1.4232025146484375	False
1	900	5.185674667358398	0.9165055751800537	6813.4755859375	1.9927293062210083	5631.4921875	0.4224023222923279	0.27292394638061523	1.7783273458480835	True
1	1000	5.181591510772705	0.9076833724975586	6353.267578125	1.8412528038024902	5604.34521484375	0.4323062300682068	0.19709870219230652	1.4416899681091309	True
1	1100	5.167501449584961	0.9114863872528076	5565.3662109375	1.5149405002593994	5854.58642578125	0.4159487187862396	0.14609938859939575	1.5457866191864014	False
1	1200	5.226402997970581	1.0264394283294678	5149.3818359375	1.461857557296753	5618.5654296875	0.4235016703605652	0.2326684296131134	1.4550412893295288	False
1	1300	5.645077466964722	0.9322206974029541	6991.708984375	2.174560070037842	5619.640625	0.4241177439689636	0.21368616819381714	1.5498868227005005	False
